categoria,item_id,label,sublabel,tipo,valor,texto_precio,tag
lineas,confort,Línea Confort,Línea nacional 1ª marca,base,1100,USD 1.000–1.200/m²,
lineas,premium,Línea Premium,Primeras marcas · DVH,base,1400,USD 1.200–1.600/m²,Más elegido
lineas,alta,Línea Alta Gama,Importados seleccionados,base,2250,USD 2.000–2.500/m²,Alta gama
lineas,lujo,Línea Lujo Importado,"Schüco, Leicht, mármol",base,3800,USD 2.600–5.000/m²,Lujo
pisos,cemento,Cemento alisado / microcemento,USD 18/m²,extra,18,,
pisos,ceramico,Cerámico 60x60 nacional 1a,Nacional 1ª marca · USD 28/m²,extra,28,,
pisos,porcelanato,Porcelanato 80x80 premium,Importado o premium · USD 45/m²,extra,45,,
pisos,madera,Piso de madera,Flotante o parquet · USD 55/m²,extra,55,,
aberturas,aluminio,Aluminio simple sin DVH,Sin DVH · USD 100/m²,extra,100,,
aberturas,modena,Negro DVH Modena + mosquitero,+ mosquitero · USD 195/m²,extra,195,,
aberturas,rpt,RPT importado,Rotura puente térmico · USD 350/m²,extra,350,,
aberturas,schuco,Schüco europeo,Sistema europeo · USD 600/m²,extra,600,,
cocina,basica,Básica · melamina + granito,Melamina + granito · USD 4.000,fixed,4000,,
cocina,isla,Con isla · Silestone (Naudir),Silestone · USD 8.000,fixed,8000,Más elegido
cocina,diseno,De diseño · lacada + Silestone premium,Lacada + Silestone premium · USD 15.000,fixed,15000,
cocina,importada,Importada · Leicht / SieMatic,Leicht / SieMatic · USD 35.000+,fixed,35000,
cubierta,chapa_galv,Chapa galvanizada C25,Estándar SF · USD 9.5/m²,roof,9.5,,
cubierta,chapa_pre,Chapa prepintada,Color a elección · USD 12/m²,roof,12,,
cubierta,plana,Cubierta plana losa+membrana,Losa + membrana · USD 18/m²,roof,18,,
revestimiento,eifs,EIFS / revoque estándar PMD,Estándar PMD · incluido,fach,0,,
revestimiento,porcelanato,Porcelanato exterior,60x60 o 90x90 · +USD 45/m² fach.,fach,45,,
revestimiento,ipe,Listones madera IPE,Estilo Punta del Este · +USD 60/m² fach.,fach,60,,
revestimiento,corten,Chapa / cortén,Elemento de diseño · +USD 100/m² fach.,fach,100,,
banos,ceramico,Cerámico 30x60 nacional,30x60 · incluido,per_bano,0,,
banos,marmol,Porcelanato mármol,+USD 800/baño,per_bano,800,,
banos,travertino,Mármol / travertino importado,Importado · +USD 2.500/baño,per_bano,2500,,
clima,split,Split / AC frío-calor,Sin gas · USD 8/m²,extra,8,,
clima,caldera,Caldera + radiadores gas,Gas natural · USD 12/m²,extra,12,,
clima,losa,Losa radiante,Caldera + circuitos · USD 22/m²,extra,22,,
clima,sin,Sin calefacción,Cotizar aparte · USD 0,extra,0,,
agua,termo_gas,Termotanque gas,Estándar,fixed,0,,
agua,caldera,Caldera mural,+USD 2.200,fixed,2200,,
agua,termo_solar,Termotanque solar,+USD 3.600,fixed,3600,,
electrica,estandar,Estándar,Reglamentaria,fixed,0,,
electrica,domotica,Domótica,+USD 5.400,fixed,5400,,
solar,no,No incluir,Conexión red estándar,fixed,0,,
solar,paneles,Paneles 3kW + batería,+USD 7.200,fixed,7200,,
suelo,normal,Normal / tosca,Estándar,extra,0,,
suelo,relleno,Relleno,Tierra vegetal,extra,15,,
extras,piscina,Piscina,Precio fijo · MO incluida · USD 16.265,fixed,16265,,
extras,garage,Garage cubierto,Estructura SF · 1 auto · USD 8.000,fixed,8000,,
extras,deck,Terraza / deck,Madera o porcelanato · USD 5.000,fixed,5000,,
extras,quincho,Quincho / parrilla,+USD 4.200,fixed,4200,,
extras,placares,Placares a medida,+USD 3.500,fixed,3500,,
extras,vestidor,Vestidor,+USD 4.800,fixed,4800,,
extras,office,Home office,+USD 2.200,fixed,2200,,
extras,theater,Home theater,+USD 5.500,fixed,5500,,
extras,parque,Parquerización,Se evalúa según proyecto · lo anotamos,fixed,0,,
extras,riego,Sistema de riego,Se evalúa según proyecto · lo anotamos,fixed,0,,
sistema,Steel framing,Steel framing,,mod,1.00,,
sistema,Mampostería,Mampostería,,mod,0.95,,
sistema,Hormigón elaborado,Hormigón elaborado,,mod,1.08,,
plantas,1,1 planta,,factor,1.00,,
plantas,2,2 plantas,,factor,1.04,,
plantas,3,3 plantas,,factor,1.09,,
plantas,4,4 plantas,,factor,1.15,,
ajuste_pmd,ajuste,Ajuste PMD final,Imprevistos + redeterminación,factor,1.13,,
linea_spread,Línea Confort_min,Spread Confort min,,spread,0.91,,
linea_spread,Línea Confort_max,Spread Confort max,,spread,1.09,,
linea_spread,Línea Premium_min,Spread Premium min,,spread,0.87,,
linea_spread,Línea Premium_max,Spread Premium max,,spread,1.13,,
linea_spread,Línea Alta Gama_min,Spread Alta Gama min,,spread,0.90,,
linea_spread,Línea Alta Gama_max,Spread Alta Gama max,,spread,1.11,,
linea_spread,Línea Lujo Importado_min,Spread Lujo min,,spread,0.72,,
linea_spread,Línea Lujo Importado_max,Spread Lujo max,,spread,1.30,,
